0,5.5659,3.8914,494
1,5.5354,3.8626,375
2,5.4992,3.8495,397
3,5.4958,3.7916,363
4,5.4537,3.8162,461
5,5.4456,3.7590,447
6,5.4033,3.7496,478
7,5.3673,3.7353,357
8,5.3341,3.7210,370
9,8.0650,5.4573,496
10,5.4640,3.9843,700
11,6.7068,4.9803,505
12,4.4630,3.5085,1213
13,4.3731,3.5338,481
14,4.3444,3.4911,334
15,4.3112,3.5292,851
16,5.7031,4.0369,534
17,5.6464,4.0115,469
18,5.6195,3.9627,621
19,5.5099,4.0488,563
20,6.7246,4.5432,577
21,6.0411,4.2052,674
22,7.5202,5.1227,653
23,3.9841,2.7281,1586
24,4.2769,3.4596,1089
25,4.2757,3.4809,448
26,4.3050,3.4295,340
27,4.3469,3.4507,338
28,4.3487,3.3933,434
29,3.7173,4.9827,490
30,3.2072,5.5603,498
31,6.1372,4.4299,382
32,7.9958,5.9678,407
33,3.5430,2.7399,1006
34,3.1343,3.1321,1009
35,4.8821,4.2776,592
36,4.9572,4.2447,347
37,3.7692,2.6176,1200
38,3.6759,2.5445,1126
39,3.6810,2.5685,955
40,3.0446,5.4388,468
41,3.4135,5.7778,522
42,5.5911,4.1798,629
43,5.8358,4.2648,581
44,3.8939,3.0108,1027
45,3.9658,2.9110,489
46,3.8392,2.9152,619
47,5.0595,4.2925,1053
48,4.3582,3.2176,1205
49,4.1656,3.1456,2502
50,5.2769,3.7107,579
51,5.2726,3.7424,401
52,5.3115,3.7713,452
53,5.2532,3.8073,479
54,5.2343,3.7722,407
55,5.1928,3.7686,637
56,5.2091,3.8368,406
57,5.2463,3.8662,370
58,5.1913,3.8763,424
59,5.2265,3.9657,449
60,5.1446,3.9546,380
61,5.1309,3.9133,529
62,5.1323,3.8712,383
63,5.0881,3.8554,363
64,5.0391,3.8615,545
65,5.7596,7.0862,655
66,6.0738,6.5156,557
67,4.0749,4.5571,723
68,4.4493,4.5921,380
69,4.7498,4.2205,710
70,4.7494,4.1056,404
71,4.5077,4.9903,679
72,4.3271,6.1293,573
73,6.3423,5.6612,545
74,4.2566,3.7180,697
75,4.3272,3.6729,720
76,4.0659,3.6909,2635
77,4.1375,3.8511,770
78,4.8753,3.8385,458
79,4.8618,3.8823,350
80,4.8614,3.9140,444
81,5.6567,3.3740,583
